crop_file,camera_ref,observed_at_utc,pipeline_read,pipeline_confidence,corrections_applied,true_plate,notes
12_2350_S6322C.jpg,12,2026-08-26T23:04:24.087952+00:00,S6322C,0.2069,0,unreadable,"motion-blurred, no characters resolved"
12_8950_5234.jpg,12,2026-08-26T23:04:30.687952+00:00,5234,0.1686,0,unreadable,no characters resolved
12_12200_AR0022.jpg,12,2026-08-26T23:04:33.937952+00:00,AR0022,0.1755,0,unreadable,no characters resolved
12_12450_DO0033.jpg,12,2026-08-26T23:04:34.187952+00:00,DO0033,0.1636,0,unreadable,no characters resolved
12_12950_OO66663.jpg,12,2026-08-26T23:04:34.687952+00:00,OO66663,0.1674,0,unreadable,no characters resolved
12_13200_R066633.jpg,12,2026-08-26T23:04:34.937952+00:00,R066633,0.1764,0,unreadable,no characters resolved
12_13700_P06666.jpg,12,2026-08-26T23:04:35.437952+00:00,P06666,0.1858,0,unreadable,no characters resolved
12_13950_006666.jpg,12,2026-08-26T23:04:35.687952+00:00,006666,0.1770,0,unreadable,no characters resolved
12_25650_EE3E1.jpg,12,2026-08-26T23:04:47.387952+00:00,EE3E1,0.3897,0,unreadable,no characters resolved; pipeline read is grammar-valid but false
14_3721_000092.jpg,14,2026-08-26T23:06:16.687830+00:00,000092,0.1383,0,unreadable,"overexposed, no characters resolved"
15_201_E523BD.jpg,15,2026-08-27T04:38:23.980025+00:00,E523BD,0.3423,0,unreadable,NOT A PLATE - camera OSD text 'Suvidhapark P3 RLVD'
16_11603_P2506SL.jpg,16,2026-08-26T23:07:46.922403+00:00,P2506SL,0.4107,0,unreadable,NOT A PLATE - camera OSD date overlay
16_12003_3030320.jpg,16,2026-08-26T23:07:47.322403+00:00,3030320,0.1625,0,unreadable,no characters resolved
16_15604_0000039.jpg,16,2026-08-26T23:07:50.923403+00:00,0000039,0.2192,0,unreadable,no characters resolved
16_30807_RR66DS.jpg,16,2026-08-26T23:08:06.126403+00:00,RR66DS,0.2353,0,unreadable,"overexposed, no characters resolved"
21_6200_E00033DA.jpg,21,2026-08-26T23:11:16.194465+00:00,E00033DA,0.4224,0,unreadable,NOT A PLATE - vehicle name board reading 'GORSIYA'
25_1000_HHMNNH11.jpg,25,2026-08-26T23:14:43.015440+00:00,HHMNNH11,0.3979,0,unreadable,NOT A PLATE - camera OSD text 'GRAM PANCHAYAT 1'
29_37720_11111.jpg,29,2026-08-27T04:43:34.685648+00:00,11111,0.5492,0,unreadable,NOT A PLATE - bridge railing
4_4080_C12442.jpg,4,2026-08-26T22:58:39.670435+00:00,C12442,0.1330,0,unreadable,vehicle front; plate region not resolved
7_2760_777PP.jpg,7,2026-08-26T23:00:55.794269+00:00,777PP,0.6075,0,unreadable,"vehicle rear, no plate resolved"
7_13520_LL450A.jpg,7,2026-08-26T23:01:06.554269+00:00,LL450A,0.1941,0,unreadable,NOT A PLATE - camera OSD text 'HERO SHOWROOM FIX-1 / Bhavani Char Rasta to Hero'
7_15280_6JTAK6533.jpg,7,2026-08-26T23:01:08.314269+00:00,6JTAK6533,0.8107,0,GJ14AK5333,legible when enlarged 6x
7_15520_6JAAXK333.jpg,7,2026-08-26T23:01:08.554269+00:00,6JAAXK333,0.7453,0,GJ14AK5333,same vehicle
7_15760_GJ14AK533.jpg,7,2026-08-26T23:01:08.794269+00:00,GJ14AK533,0.9415,0,GJ14AK5333,sharpest frame; four trailing digits unambiguous at 6x
REPLAY-01_14813_0ADA811.jpg,REPLAY-01,2026-08-26T01:33:55.732879+00:00,0ADA811,0.6078,0,KA25AB1542,same vehicle as 15414-16014; blurred but legible when enlarged
REPLAY-01_15414_KA23AA441.jpg,REPLAY-01,2026-08-26T01:33:56.333431+00:00,KA23AA441,0.5883,1,KA25AB1542,same vehicle
REPLAY-01_15614_KA25AB144.jpg,REPLAY-01,2026-08-26T01:33:56.533615+00:00,KA25AB144,0.9016,0,KA25AB1542,sharpest frame of this vehicle
REPLAY-01_15814_KA25SB512.jpg,REPLAY-01,2026-08-26T01:33:56.733799+00:00,KA25SB512,0.7036,2,KA25AB1542,same vehicle
REPLAY-01_16014_KA25SB542.jpg,REPLAY-01,2026-08-26T01:33:56.933983+00:00,KA25SB542,0.7854,1,KA25AB1542,same vehicle
REPLAY-01_18817_4121A1111.jpg,REPLAY-01,2026-08-26T01:33:59.736559+00:00,4121A1111,0.6093,0,KA25AB1116,marginal alone; trailing digits confirmed from 20018/20218 of the same track
REPLAY-01_19017_442511166.jpg,REPLAY-01,2026-08-26T01:33:59.936743+00:00,442511166,0.5968,0,KA25AB1116,marginal alone; confirmed from sharper frames of the same track
REPLAY-01_19217_44236B116.jpg,REPLAY-01,2026-08-26T01:34:00.136927+00:00,44236B116,0.6452,0,KA25AB1116,same vehicle
REPLAY-01_19417_442E61116.jpg,REPLAY-01,2026-08-26T01:34:00.337111+00:00,442E61116,0.7137,0,KA25AB1116,same vehicle
REPLAY-01_19618_442E61116.jpg,REPLAY-01,2026-08-26T01:34:00.537295+00:00,442E61116,0.6308,0,KA25AB1116,same vehicle
REPLAY-01_19818_KA25AI116.jpg,REPLAY-01,2026-08-26T01:34:00.737479+00:00,KA25AI116,0.7814,2,KA25AB1116,same vehicle
REPLAY-01_20018_KA25SA116.jpg,REPLAY-01,2026-08-26T01:34:00.937663+00:00,KA25SA116,0.8012,2,KA25AB1116,sharpest frame of this vehicle
